Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
12545.5,July-1987,3657.5,villa,residential,Outskirts,trapezoid,1,69084,8,0.6259570716853556,1970,1979.0,highway,87,2,3,NA,Yes, No
15257.0,Jan-1972,3561.3,land,industrial,Border,irregular,5,24471,10,0.7408846742713481,1956,,highway,81,1,3,F,NA,NA
17427.1,September-06,5953.7,flat,commercial,Border,rectangle,5,30497,9,0.7855319495392866,1999,0.0,street,58,2,6,NA,No,
15352.7,March-2002,6520.3,open land,commercial,Outskirts,irregular,2,79940mts,1,0.11369894681537951,1990,0.0,highway,28,2,9,C,NA,NA
17393.1,July-98,7073.3,duplex,residential,Center,irregular,4,8196mts,4,0.8186201344290054,1996,0.0,street,24,4,4,NA,No,NA
19421.6,June-2008,9588.5,flat,residential,Border,trapezoid,5,34684,6,0.9927436020370636,2002,0.0,highway,54,5,7,,No,NA
20256.3,December-77,2657.8,open land,commercial,Center,rectangle,4,18747mts,9,0.32903633138306676,1975,0.0,street,7,4,10,C,NA,NA
18800.4,January-1971,10127.3,open land,industrial,Outskirts,irregular,4,59987,4,0.7289600266449806,1971,0.0,highway,21,5,8,F,NA,NA
9882.9,August-70,907.9,duplex,residential,Outskirts,irregular,2,56780mts,4,0.5576065988099757,1966,0.0,highway,24,5,3,NA,No,
14859.3,June-1991,3251.7,open land,residential,Outskirts,irregular,2,69237mts,6,0.8163353362215158,1977,0.0,highway,69,4,6,C,NA,NA
17070.1,February-1981,7903.2,villa,residential,Center,trapezoid,2,7195,6,0.5524622785062251,1975,0.0,alley,36,1,10,NA,Yes, No
16136.8,July-2006,9570.3,villa,residential,Center,trapezoid,2,2870,5,0.0798600112370711,1987,1998.0,alley,85,5,4,NA,Yes, No
15927.3,May-1973,1439.7,duplex,residential,Border,rectangle,4,34556mts,1,0.546913705794455,1960,1970.0,highway,81,1,1,,Yes,NA
17595.4,September-2005,5273.3,duplex,commercial,Outskirts,trapezoid,5,78421,4,0.5472394669281356,1986,1997.0,highway,56,2,8,,No,
18753.6,February-1996,7834.8,open land,residential,Border,irregular,3,35749,3,0.7116465335603034,1993,0.0,street,29,5,4,F,NA,NA
20660.4,August-1979,8143.4,open land,industrial,Outskirts,rectangle,5,57956,1,0.5137978785860291,1972,,highway,63,1,5,F,NA,
14535.9,August-1977,1264.7,villa,residential,Border,rectangle,4,34531mts,7,0.9892322328043087,1963,1974.0,highway,13,3,10,NA,Yes, No
14830.4,March-1977,2195.9,duplex,residential,Border,rectangle,5,36942,2,0.15962482246583765,1966,1975.0,highway,2,5,4,,No,
12769.0,January-02,887.8,flat,residential,Outskirts,trapezoid,4,72299mts,4,0.36514324100631135,2002,0.0,highway,89,4,2,NA,No,
18343.4,Dec-2008,10665.5,villa,residential,Border,trapezoid,3,33219,3,0.26019159814824055,2006,0.0,highway,16,2,6,NA,Yes,Yes
13314.1,December-1979,7744.9,flat,commercial,Center,irregular,2,22601,3,0.42450833543786237,1969,1978.0,alley,83,1,8,NA,No,NA
21789.8,December-2007,10304.0,duplex,commercial,Border,trapezoid,4,36518,2,0.4112130588344344,1999,0.0,street,32,1,6,NA,Yes,NA
10644.9,August-1974,3705.3,flat,residential,Outskirts,irregular,3,77980mts,1,0.28437986743179133,1955,1966.0,highway,8,5,6,NA,No,
14037.8,May-1977,945.4,open land,residential,Border,irregular,4,31592mts,4,0.11572345756031466,1965,0.0,street,30,2,2,F,NA,NA
16327.2,April-1973,7544.4,villa,residential,Border,irregular,4,21028,6,0.35491244451274817,1965,0.0,street,28,5,3,NA,Yes, No
20397.2,November-1974,10445.2,open land,industrial,Outskirts,rectangle,4,77493mts,1,0.3576620365744261,1965,,highway,22,3,4,C,NA,
14397.4,February-2006,3352.8,flat,commercial,Outskirts,trapezoid,1,72923,10,0.25829929359948134,1991,2002.0,highway,63,3,5,NA,Yes,
17021.5,December-2002,2787.3,flat,commercial,Center,rectangle,4,24451,5,0.2138001081106632,1999,0.0,street,86,2,1,NA,Yes,NA
19607.7,July-81,7019.5,open land,industrial,Border,trapezoid,1,37879mts,2,0.04795242229121377,1975,,street,34,4,10,C,NA,NA
15818.8,February-71,1084.0,duplex,residential,Outskirts,trapezoid,3,73752,2,0.7974990812307239,1956,1964.0,highway,39,1,1,NA,Yes,NA
22074.8,March-1970,11989.7,open land,industrial,Border,rectangle,2,39261,6,0.9414794626570808,1963,0.0,street,86,2,2,C,NA,
16220.5,February-1990,3243.8,villa,residential,Outskirts,trapezoid,5,65200mts,2,0.9249317011562426,1984,0.0,highway,95,3,5,NA,Yes,Yes
20679.7,December-2004,11959.6,villa,residential,Center,trapezoid,5,5556,1,0.33680961314806457,1989,1997.0,alley,4,3,6,NA,Yes,Yes
16187.4,December-1976,3377.6,open land,industrial,Border,trapezoid,1,34316mts,3,0.1096506167119703,1972,0.0,highway,59,1,7,C,NA,NA
14858.5,December-2001,7488.9,villa,residential,Outskirts,irregular,5,65896,1,0.5769226980368961,1999,0.0,highway,57,4,7,,Yes,Yes
17943.8,September-2009,6778.1,duplex,commercial,Center,trapezoid,1,15428,5,0.895827169861647,1997,2008.0,alley,31,4,5,NA,No,NA
16341.2,October-1987,9018.7,duplex,commercial,Border,irregular,1,21606,9,0.2889456168369895,1982,0.0,street,40,1,8,NA,Yes,NA
16738.3,January-1975,5516.1,duplex,commercial,Outskirts,rectangle,1,68538mts,10,0.6708579687256943,1966,0.0,highway,97,4,4,NA,Yes,NA
21069.7,April-1995,4753.2,flat,residential,Outskirts,trapezoid,3,75845,1,0.6386969533029797,1984,1993.0,highway,51,3,5,,Yes,NA
16930.8,Feb-2007,7810.3,open land,residential,Outskirts,irregular,4,59875,5,0.2737493987495706,2004,0.0,highway,87,4,3,F,NA,NA
18189.5,October-1987,3244.9,duplex,residential,Center,trapezoid,3,11515,2,0.8012817616076192,1976,1987.0,street,62,1,3,NA,No,NA
10487.5,May-1993,1126.3,villa,residential,Outskirts,irregular,4,67014,7,0.6266386432556051,1974,1983.0,highway,71,2,9,NA,Yes, No
14218.8,Sep-1980,6430.9,villa,residential,Center,irregular,5,18266,10,0.5481842532342351,1967,1978.0,street,25,3,2,NA,Yes, No
25148.0,Oct-2001,10643.7,duplex,residential,Center,rectangle,5,8250,5,0.6895332896876037,1992,0.0,street,46,2,8,,Yes,NA
15966.4,September-70,9115.0,villa,residential,Center,trapezoid,4,10918,1,0.32103737188298764,1957,1968.0,alley,48,4,1,NA,Yes, No
17756.9,June-88,8870.4,villa,residential,Center,rectangle,5,16267,3,0.12187858500869075,1988,0.0,street,81,1,1,,Yes, No
20831.1,September-1984,11805.1,open land,commercial,Outskirts,trapezoid,3,79299,2,0.022819333773441364,1978,0.0,highway,34,2,5,F,NA,NA
23547.2,Jun-1997,9462.3,duplex,residential,Center,rectangle,5,3191mts,3,0.9801252248471449,1991,0.0,street,82,2,1,,Yes,
