Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
16813.9,January-1970,2760.3,duplex,commercial,Border,trapezoid,1,37552,5,0.21280656796141917,1963,0,street,54,5,9,NA,Yes,NA
14290.1,March-2002,9330.0,flat,commercial,Outskirts,irregular,1,53653,4,0.6314907842607363,2002,0,highway,67,4,6,NA,Yes,NA
23224.9,April-1983,3560.8,duplex,commercial,Center,trapezoid,4,23781,9,0.3910449750512889,1971,1979,street,60,3,3,NA,Yes,NA
13483.2,August-2002,2198.2,villa,residential,Outskirts,trapezoid,2,69939,1,0.22976711471574007,1994,0,highway,12,5,4,NA,Yes,Yes
15208.6,November-1983,11770.4,flat,residential,Center,irregular,5,6105,7,0.025314949857625613,1977,0,alley,7,3,4,NA,No,NA
20570.6,October-1971,7023.9,duplex,commercial,Center,trapezoid,4,22287,4,0.52355758304836,1968,0,street,11,4,2,NA,Yes,NA
17889.2,December-1989,5826.6,duplex,residential,Center,rectangle,3,2426,9,0.7526809297371729,1983,0,alley,90,4,4,NA,No,NA
20504.0,January-1992,8866.0,open land,industrial,Outskirts,trapezoid,4,57868,2,0.5374208454494889,1986,0,highway,27,2,3,F,NA,NA
15238.3,February-1983,6141.6,flat,residential,Center,trapezoid,3,6618,6,0.043627018724082145,1974,0,alley,81,2,4,NA,No,NA
14147.5,January-1994,11615.2,flat,commercial,Border,irregular,3,25155,2,0.11034949497345725,1991,0,highway,20,2,1,NA,Yes,NA
18802.9,July-1983,9475.7,flat,residential,Center,trapezoid,4,9810,8,0.48166411020293376,1973,1981,alley,37,1,8,NA,No,NA
16593.4,September-1975,1282.3,open land,residential,Outskirts,rectangle,2,58081,8,0.9567280724178934,1960,0,highway,28,5,4,C,NA,NA
17109.6,February-1988,6234.1,duplex,residential,Outskirts,rectangle,5,58743,5,0.23866206352163866,1982,0,highway,53,5,6,NA,No,NA
13493.0,September-1986,2784.9,villa,residential,Center,irregular,3,15937,3,0.4030059262589817,1985,0,street,27,3,4,NA,Yes,Yes
13295.8,May-1973,1817.4,flat,commercial,Outskirts,rectangle,3,72896,3,0.5342593289663694,1955,1964,highway,72,4,9,NA,No,NA
16070.8,July-2004,3371.2,villa,residential,Border,trapezoid,4,40282,10,0.5883568719556317,2001,0,street,62,2,8,NA,Yes, No
17812.8,December-1985,1385.9,open land,industrial,Outskirts,rectangle,4,79973,3,0.005210918065491454,1982,0,highway,8,4,10,F,NA,NA
12823.3,May-1993,10825.2,flat,residential,Outskirts,irregular,2,78849,8,0.24691968455909974,1993,0,highway,20,1,1,NA,No,NA
15255.6,June-1982,7332.3,duplex,residential,Border,irregular,1,23860,6,0.3454408468178256,1978,0,highway,87,5,8,NA,Yes,NA
18069.9,March-1997,5469.9,duplex,residential,Border,trapezoid,5,29413,5,0.31687584622072795,1992,0,highway,84,1,10,NA,No,NA
17963.0,September-2001,2474.4,duplex,commercial,Center,trapezoid,5,2020,4,0.04561404377405742,1997,0,street,97,1,10,NA,No,NA
8312.0,June-1984,2060.2,villa,residential,Border,irregular,1,27580,4,0.6759046872823773,1980,0,highway,24,1,2,NA,Yes, No
18308.9,August-2007,4979.7,villa,residential,Center,trapezoid,2,13114,3,0.03371415425158231,1989,2000,street,27,4,10,NA,Yes,Yes
18609.4,February-1996,7318.3,open land,commercial,Center,irregular,3,16283,3,0.2493333748424318,1994,0,street,33,1,5,F,NA,NA
14425.7,January-2005,4007.7,villa,residential,Border,rectangle,5,35495,7,0.07962258508477771,1994,2005,highway,76,3,7,NA,Yes, No
16573.5,July-1976,2909.1,villa,residential,Center,rectangle,5,6750,8,0.18549860149957687,1964,1974,street,25,4,10,NA,Yes, No
21913.3,December-1973,11961.8,open land,commercial,Outskirts,trapezoid,3,75416,3,0.7942253198607473,1962,0,highway,68,2,8,C,NA,NA
20078.0,May-1973,7726.6,duplex,commercial,Center,trapezoid,4,18741,7,0.0054211740874478,1969,0,alley,0,4,10,NA,Yes,NA
20981.7,May-2000,10680.6,open land,commercial,Outskirts,trapezoid,4,69997,2,0.005921952937403163,1981,0,highway,14,3,6,F,NA,NA
16516.3,December-1971,8996.6,flat,commercial,Center,irregular,5,16422,8,0.1626845894539506,1960,1971,street,26,2,3,NA,Yes,NA
18430.0,April-1975,3933.5,villa,residential,Outskirts,trapezoid,2,66000,5,0.8394216501003646,1971,0,highway,77,4,2,NA,Yes,Yes
10521.8,September-1989,2126.1,flat,commercial,Outskirts,irregular,2,63438,7,0.76174870164048,1977,1986,highway,36,4,10,NA,No,NA
15833.5,May-1985,6356.3,duplex,commercial,Border,trapezoid,2,37462,5,0.5803505042992811,1983,0,highway,7,1,4,NA,No,NA
17865.5,July-2007,8401.5,open land,industrial,Outskirts,irregular,4,60577,7,0.8963203091361653,2005,0,highway,58,1,6,C,NA,NA
11948.2,July-1999,1474.2,flat,commercial,Center,irregular,1,8731,7,0.47077273076804826,1991,0,street,73,3,9,NA,No,NA
20372.6,April-1996,8625.6,villa,residential,Outskirts,trapezoid,1,77786,2,0.37051596270340914,1988,0,highway,31,3,4,NA,Yes,Yes
15867.0,September-1998,5420.5,open land,residential,Border,irregular,2,32816,5,0.6133149208429389,1990,0,highway,34,3,7,C,NA,NA
